Product Name;Description;Price;Website;On Promotion;ID;Category
Levi's 501 Original Fit;The Levi's 501 Original Fit jeans are a timeless classic, offering a perfect fit and exceptional durability. Made from high-quality cotton, available in various sizes. Comes with a 30-day satisfaction guarantee.;89.99;https://www.levi.com;Yes;6;Pants
Calvin Klein Slim Fit;The Calvin Klein Slim Fit shirt is stylish and modern, perfect for formal and casual occasions. Made from stretch cotton, it offers optimal comfort and a tailored fit. Includes a 1-year warranty.;69.99;https://www.calvinklein.com;No;7;Shirts
Nike Air Force 1;The Nike Air Force 1 are iconic sneakers, offering unique style and unmatched comfort. Made with premium leather and a durable rubber sole. Includes a 1-year warranty.;99.99;https://www.nike.com;Yes;3;Shoes
Gucci Marmont Shoulder Bag;The Gucci Marmont Shoulder Bag is luxurious and elegant, made from soft leather with a quilted pattern. Perfect for adding a touch of glamour to any outfit. Includes a 2-year warranty.;1299.99;https://www.gucci.com;No;8;Accessories
Zara Basic T-Shirt;The Zara Basic T-Shirt is a wardrobe essential, offering exceptional comfort and a versatile design. Available in various colors and sizes. Comes with a 30-day satisfaction guarantee.;19.99;https://www.zara.com;Yes;9;Clothing
Ray-Ban Aviator Sunglasses;The Ray-Ban Aviator Sunglasses offer optimal UV protection and timeless style. Made with high-quality materials for exceptional durability. Includes a 2-year warranty.;149.99;https://www.ray-ban.com;No;10;Accessories
Apple Watch Series 7;The Apple Watch Series 7 features a larger display, enhanced durability, and new health features. Tracks activity, notifications, and more. Includes a 1-year warranty. On promotion with 10% off.;399.99;https://www.apple.com;Yes;11;Smartwatches
Samsung Galaxy Watch 4;The Samsung Galaxy Watch 4 offers advanced fitness tracking, notifications, and multi-day battery life. Compatible with Android and iOS. Includes a 2-year warranty.;349.99;https://www.samsung.com;No;11;Smartwatches
Beats by Dre Studio3;The Beats Studio3 headphones offer active noise cancellation, premium sound, and a 22-hour battery life. Ideal for discerning music enthusiasts. Includes a 2-year warranty. On promotion with 15% off.;299.99;https://www.beatsbydre.com;Yes;4;Audio Electronics
Asus ROG Strix G15;The Asus ROG Strix G15 is a powerful gaming laptop with an AMD Ryzen 9 processor, NVIDIA RTX 3070 graphics card, and a 300Hz display. Includes a 2-year warranty and 24/7 technical support.;1799.99;https://www.asus.com;No;2;Computers
HP Spectre x360;The HP Spectre x360 is a convertible laptop with a 13" OLED display, Intel i7, and 16 GB of RAM. Perfect for productivity and entertainment, with a 2-year warranty. On promotion with 10% off.;1199.99;https://www.hp.com;Yes;2;Computers
Fitbit Charge 5;The Fitbit Charge 5 offers advanced fitness tracking, heart rate monitoring, and sleep tracking. Compatible with major smartphones and water-resistant up to 50 meters. Includes a 1-year warranty.;179.99;https://www.fitbit.com;No;11;Smartwatches
Under Armour HOVR Phantom 2;The Under Armour HOVR Phantom 2 are running shoes offering excellent cushioning and Bluetooth connectivity for activity tracking. Available in various sizes and colors. Includes a 1-year warranty.;160.00;https://www.underarmour.com;Yes;3;Shoes
Jabra Elite 85t;The Jabra Elite 85t earbuds offer active noise cancellation, 25-hour battery life, and high-quality sound. Comfortable and water-resistant, with a 2-year warranty. On promotion with 20% off.;229.99;https://www.jabra.com;Yes;4;Audio Electronics
Microsoft Surface Laptop 4;The Microsoft Surface Laptop 4 combines sleek design with powerful performance thanks to an Intel i7 processor and 16 GB of RAM. 13.5" PixelSense touchscreen. Includes a 2-year warranty.;1299.99;https://www.microsoft.com;No;2;Computers
Logitech MX Master 3;The Logitech MX Master 3 mouse offers unmatched precision and comfort with intuitive controls and a rechargeable battery. Perfect for professionals. Includes a 2-year warranty.;99.99;https://www.logitech.com;No;12;Accessories
Sony Bravia XR A90J;The Sony Bravia XR A90J OLED TV offers exceptional picture quality with infinite contrast and vibrant colors. Equipped with Google TV and compatible with Alexa. Includes a 3-year warranty.;2499.99;https://www.sony.com;No;13;Televisions
LG CX OLED TV;The LG CX OLED TV offers a cinematic experience with perfect picture quality and an ultra-thin design. Compatible with all major streaming services. Includes a 2-year warranty.;1999.99;https://www.lg.com;Yes;13;Televisions
Patagonia Nano Puff Jacket;The Patagonia Nano Puff Jacket offers lightweight and compressible insulation, perfect for outdoor adventures. Made with recycled materials and lifetime warranty. On promotion with 15% off.;199.99;https://www.patagonia.com;Yes;14;Clothing
The North Face Apex Bionic;The North Face Apex Bionic Jacket is wind and water-resistant, ideal for outdoor activities. Designed for optimal freedom of movement. Includes a 1-year warranty.;169.99;https://www.thenorthface.com;No;14;Clothing
JBL Flip 5;The JBL Flip 5 portable speaker offers powerful sound and a 12-hour battery life. Waterproof and durable, it is perfect for outdoor parties. Includes a 1-year warranty.;119.99;https://www.jbl.com;Yes;4;Audio Electronics
Anker PowerCore 20000;The Anker PowerCore 20000 portable charger offers high capacity and fast charging for all your mobile devices. Compact and lightweight, with an 18-month warranty.;49.99;https://www.anker.com;No;15;Accessories
Dyson V11 Absolute;The Dyson V11 Absolute cordless vacuum offers exceptional suction power and a 60-minute run time. Ideal for all floor types. Includes a 2-year warranty.;599.99;https://www.dyson.com;Yes;16;Appliances
Instant Pot Duo 7-in-1;The Instant Pot Duo 7-in-1 multicooker offers quick and easy cooking with pressure cooking, roasting, and more. Includes a 1-year warranty. On promotion with 10% off.;99.99;https://www.instantpot.com;Yes;17;Kitchen
KitchenAid Stand Mixer;The KitchenAid Stand Mixer offers unmatched power and versatility, perfect for all your baking needs. Available in various colors. Includes a 2-year warranty.;399.99;https://www.kitchenaid.com;No;17;Kitchen
Columbia Silver Ridge Pants;The Columbia Silver Ridge Pants offer comfort and durability for hiking and outdoor activities. Made with breathable and resistant materials. Includes a 1-year warranty.;79.99;https://www.columbia.com;Yes;6;Pants
Tommy Hilfiger Oxford Shirt;The Tommy Hilfiger Oxford Shirt is an elegant and timeless choice, ideal for formal and casual occasions. Made from high-quality cotton with a 1-year warranty.;79.99;https://www.tommy.com;No;7;Shirts
Bose SoundLink Revolve;The Bose SoundLink Revolve portable speaker offers 360-degree sound and a 12-hour battery life. Water-resistant, it's perfect for all your outdoor activities. Includes a 2-year warranty.;199.99;https://www.bose.com;Yes;4;Audio Electronics
GoPro HERO9 Black;The GoPro HERO9 Black camera offers 5K resolution, advanced stabilization, and extreme durability. Perfect for capturing your boldest adventures. Includes a 1-year warranty.;449.99;https://www.gopro.com;No;18;Electronics
Canon EOS R6;The Canon EOS R6 camera delivers exceptional image quality with a 20 MP full-frame sensor and fast autofocus. Ideal for professionals and enthusiasts. Includes a 2-year warranty.;2499.99;https://www.canon.com;No;18;Electronics
Yamaha YAS-209 Soundbar;The Yamaha YAS-209 soundbar offers immersive surround sound with a wireless subwoofer and Alexa compatibility. Includes a 1-year warranty.;349.99;https://www.yamaha.com;Yes;4;Audio Electronics
Fujifilm Instax Mini 11;The Fujifilm Instax Mini 11 instant camera allows you to capture and print memories instantly. Available in various colors. Includes a 1-year warranty. On promotion with 20% off.;69.99;https://www.fujifilm.com;Yes;18;Electronics
Black+Decker Dustbuster;The Black+Decker Dustbuster handheld vacuum offers powerful suction for quick and efficient cleaning. Lightweight and cordless, with a 2-year warranty.;59.99;https://www.blackanddecker.com;No;;NULL
Philips Sonicare DiamondClean;The Philips Sonicare DiamondClean electric toothbrush offers superior cleaning with multiple brushing modes. Includes a 2-year warranty. On promotion with 15% off.;199.99;https://www.philips.com;Yes;19;Hygiene
Oral-B Genius X;The Oral-B Genius X electric toothbrush uses artificial intelligence to enhance your brushing routine. Includes a 2-year warranty.;179.99;https://www.oralb.com;No;19;Hygiene
Sony Alpha a7 III;The Sony Alpha a7 III camera delivers exceptional image quality with a 24 MP full-frame sensor and fast autofocus. Includes a 2-year warranty.;1999.99;https://www.sony.com;No;18;Electronics
Pioneer DJ DDJ-400;The Pioneer DJ DDJ-400 controller offers professional features and compatibility with DJ software. Perfect for beginners and professionals. Includes a 1-year warranty.;249.99;https://www.pioneerdj.com;Yes;20;Musical Instruments
Fender Stratocaster;The Fender Stratocaster electric guitar is a rock classic, offering exceptional playability and rich sound. Includes a 2-year warranty.;1299.99;https://www.fender.com;No;20;Musical Instruments
Microsoft Xbox Series X;The Microsoft Xbox Series X gaming console offers next-generation performance with 4K graphics and compatibility with all Xbox games. Includes a 1-year warranty.;499.99;https://www.microsoft.com;No;21;Gaming Consoles
Sony PlayStation 5;The Sony PlayStation 5 gaming console offers next-generation performance with 4K graphics and exclusive games. Includes a 1-year warranty.;499.99;https://www.sony.com;No;21;Gaming Consoles
Nintendo Switch OLED;The Nintendo Switch OLED console offers an enhanced screen and both portable and docked functionality. Includes a 1-year warranty. On promotion with 10% off.;349.99;https://www.nintendo.com;Yes;21;Gaming Consoles
Segway Ninebot ES4;The Segway Ninebot ES4 electric scooter offers a 45 km range and a top speed of 30 km/h. Perfect for urban commuting. Includes a 1-year warranty.;699.99;https://www.segway.com;No;22;Urban Mobility
Xiaomi Mi Electric Scooter;The Xiaomi Mi electric scooter offers a 30 km range and a top speed of 25 km/h. Includes a 1-year warranty. On promotion with 15% off.;499.99;https://www.mi.com;Yes;22;Urban Mobility
Bose Sleepbuds II;The Bose Sleepbuds II are designed to improve your sleep quality with relaxing sounds. Includes a 2-year warranty.;249.99;https://www.bose.com;No;4;Audio Electronics
Garmin Forerunner 945;The Garmin Forerunner 945 running watch offers advanced GPS tracking, health features, and long battery life. Includes a 2-year warranty.;599.99;https://www.garmin.com;No;11;Smartwatches
Oculus Quest 2;The Oculus Quest 2 VR headset offers an immersive experience with top-notch performance and a wide game library. Includes a 1-year warranty.;299.99;https://www.oculus.com;Yes;23;Virtual Reality
HTC Vive Pro 2;The HTC Vive Pro 2 VR headset offers 5K resolution and an exceptional immersive experience. Perfect for gaming and professional applications. Includes a 2-year warranty.;799.99;https://www.vive.com;No;23;Virtual Reality
Patagonia Black Hole Duffel;The Patagonia Black Hole Duffel travel bag is durable and spacious, perfect for all your adventures. Made with recycled materials. Lifetime warranty.;149.99;https://www.patagonia.com;Yes;24;Luggage
Samsonite Winfield 3;The Samsonite Winfield 3 suitcase offers maximum protection with a hard shell and advanced security features. Includes a 10-year warranty.;199.99;https://www.samsonite.com;No;24;Luggage
DeWalt DCD791D2 Drill;The DeWalt DCD791D2 cordless drill offers exceptional power and long battery life. Perfect for construction and renovation projects. Includes a 3-year warranty.;199.99;https://www.dewalt.com;Yes;25;Tools
Makita XFD131 Drill;The Makita XFD131 cordless drill offers high performance with a compact and lightweight design. Includes a 3-year warranty.;179.99;https://www.makita.com;No;25;Tools
Nest Learning Thermostat;The Nest Learning Thermostat optimizes energy consumption and offers easy control via smartphone. Includes a 2-year warranty. On promotion with 10% off.;249.99;https://store.google.com;Yes;26;Smart Home
Ring Video Doorbell Pro 2;The Ring Video Doorbell Pro 2 offers advanced security with HD video and two-way communication. Includes a 1-year warranty.;199.99;https://www.ring.com;No;26;Smart Home
Nintendo Switch OLED;The Nintendo Switch OLED console offers an enhanced screen and both portable and docked functionality. Includes a 1-year warranty. On promotion with 10% off.;349.99;https://www.nintendo.com;Yes;21;Gaming Consoles
Segway Ninebot ES4;The Segway Ninebot ES4 electric scooter offers a 45 km range and a top speed of 30 km/h. Perfect for urban commuting. Includes a 1-year warranty.;699.99;https://www.segway.com;No;22;Urban Mobility
Xiaomi Mi Electric Scooter;The Xiaomi Mi electric scooter offers a 30 km range and a top speed of 25 km/h. Includes a 1-year warranty. On promotion with 15% off.;499.99;https://www.mi.com;Yes;22;Urban Mobility
Bose Sleepbuds II;The Bose Sleepbuds II are designed to improve your sleep quality with relaxing sounds. Includes a 2-year warranty.;249.99;https://www.bose.com;No;4;Audio Electronics
Garmin Forerunner 945;The Garmin Forerunner 945 running watch offers advanced GPS tracking, health features, and long battery life. Includes a 2-year warranty.;599.99;https://www.garmin.com;No;11;Smartwatches
Oculus Quest 2;The Oculus Quest 2 VR headset offers an immersive experience with top-notch performance and a wide game library. Includes a 1-year warranty.;299.99;https://www.oculus.com;Yes;23;Virtual Reality
HTC Vive Pro 2;The HTC Vive Pro 2 VR headset offers 5K resolution and an exceptional immersive experience. Perfect for gaming and professional applications. Includes a 2-year warranty.;799.99;https://www.vive.com;No;23;Virtual Reality
Patagonia Black Hole Duffel;The Patagonia Black Hole Duffel travel bag is durable and spacious, perfect for all your adventures. Made with recycled materials. Lifetime warranty.;149.99;https://www.patagonia.com;Yes;24;Luggage
Samsonite Winfield 3;The Samsonite Winfield 3 suitcase offers maximum protection with a hard shell and advanced security features. Includes a 10-year warranty.;199.99;https://www.samsonite.com;No;24;Luggage
DeWalt DCD791D2 Drill;The DeWalt DCD791D2 cordless drill offers exceptional power and long battery life. Perfect for construction and renovation projects. Includes a 3-year warranty.;199.99;https://www.dewalt.com;Yes;25;Tools
Makita XFD131 Drill;The Makita XFD131 cordless drill offers high performance with a compact and lightweight design. Includes a 3-year warranty.;179.99;https://www.makita.com;No;25;Tools
Nest Learning Thermostat;The Nest Learning Thermostat optimizes energy consumption and offers easy control via smartphone. Includes a 2-year warranty. On promotion with 10% off.;249.99;https://store.google.com;Yes;26;Smart Home
Ring Video Doorbell Pro 2;The Ring Video Doorbell Pro 2 offers advanced security with HD video and two-way communication. Includes a 1-year warranty.;199.99;https://www.ring.com;No;26;Smart Home
Dyson Supersonic;The Dyson Supersonic hair dryer offers fast drying power with hair protection technology. Includes a 2-year warranty.;399.99;https://www.dyson.com;No;27;Personal Care
L'Oréal Steampod 3.0;The L'Oréal Steampod 3.0 steam straightener offers quick and damage-free styling with advanced steam technology. Includes a 2-year warranty. On promotion with 20% off.;299.99;https://www.loreal-paris.fr;Yes;27;Personal Care
Timberland Classic Boots;The Timberland Classic Boots offer exceptional durability and comfort, perfect for all seasons. Made with premium leather. Includes a 1-year warranty.;189.99;https://www.timberland.com;No;3;Shoes
Clarks Desert Boot;The Clarks Desert Boots offer classic style with optimal comfort, made from high-quality suede. Includes a 1-year warranty.;129.99;https://www.clarks.com;Yes;3;Shoes
Puma Suede Classic;The Puma Suede Classic sneakers offer timeless style with exceptional comfort and durability. Includes a 1-year warranty.;79.99;https://www.puma.com;No;3;Shoes
New Balance 990v5;The New Balance 990v5 sneakers offer unmatched comfort and support for running and everyday activities. Includes a 1-year warranty.;174.99;https://www.newbalance.com;Yes;3;Shoes
Casio G-Shock GA2100;The Casio G-Shock GA2100 watch offers exceptional durability with a shock-resistant and water-resistant design. Includes a 2-year warranty.;99.99;https://www.casio.com;No;11;Smartwatches
Seiko 5 Sports;The Seiko 5 Sports watch combines elegance and durability with an automatic movement and sporty design. Water-resistant up to 100 meters. Includes a 2-year warranty.;299.99;https://www.seikowatches.com;No;11;Smartwatches
Nike Air Max 270;The Nike Air Max 270 shoes offer exceptional comfort and style with a visible Air unit for maximum cushioning. Includes a 1-year warranty.;150.00;https://www.nike.com;Yes;3;Shoes
Levi's 501 Original;The Levi's 501 Original jeans are a timeless classic, offering exceptional comfort and durability. Available in multiple washes. Includes a 1-year warranty.;89.99;https://www.levi.com;No;6;Pants
Samsung Galaxy Watch 4;The Samsung Galaxy Watch 4 smartwatch offers advanced health features, including sleep and heart rate tracking. Includes a 2-year warranty.;299.99;https://www.samsung.com;Yes;11;Smartwatches
Ralph Lauren Polo Shirt;The Ralph Lauren Polo Shirt is a timeless garment, offering elegant style and optimal comfort. Made from high-quality cotton. Includes a 1-year warranty.;95.00;https://www.ralphlauren.com;No;7;Shirts
LG Gram 17;The LG Gram 17 laptop offers exceptional portability with a 17-inch screen, Intel i7 processor, and 16GB of RAM. Includes a 2-year warranty.;1799.99;https://www.lg.com;Yes;2;Computers
Sony WH-1000XM4;The Sony WH-1000XM4 wireless headphones offer industry-leading noise cancellation and exceptional sound quality. Includes a 2-year warranty.;349.99;https://www.sony.com;No;4;Audio Electronics
Apple iPad Pro;The Apple iPad Pro offers exceptional performance with a Liquid Retina display, M1 chip, and 5G capabilities. Includes a 1-year warranty.;999.99;https://www.apple.com;No;1;Tablets
Nintendo Switch OLED;The Nintendo Switch OLED console offers an enhanced screen and both portable and docked modes. 1-year warranty included. On sale at -10%.;349.99;https://www.nintendo.com;Yes;21;Gaming Consoles
Segway Ninebot ES4;The Segway Ninebot ES4 electric scooter offers a range of 45 km and a top speed of 30 km/h. Perfect for urban commuting. 1-year warranty included.;699.99;https://www.segway.com;No;22;Urban Mobility
Xiaomi Mi Electric Scooter;The Xiaomi Mi electric scooter offers a range of 30 km and a top speed of 25 km/h. 1-year warranty included. On sale at -15%.;499.99;https://www.mi.com;Yes;22;Urban Mobility
Bose Sleepbuds II;The Bose Sleepbuds II earphones are designed to enhance the quality of your sleep with relaxing sounds. 2-year warranty included.;249.99;https://www.bose.com;No;4;Audio Electronics
Garmin Forerunner 945;The Garmin Forerunner 945 running watch offers advanced GPS tracking, health features, and long battery life. 2-year warranty included.;599.99;https://www.garmin.com;No;11;Smartwatches
Oculus Quest 2;The Oculus Quest 2 VR headset offers an immersive experience with cutting-edge performance and a diverse game library. 1-year warranty included.;299.99;https://www.oculus.com;Yes;23;Virtual Reality
HTC Vive Pro 2;The HTC Vive Pro 2 VR headset offers 5K resolution and an exceptional immersive experience. Perfect for gaming and professional applications. 2-year warranty included.;799.99;https://www.vive.com;No;23;Virtual Reality
Patagonia Black Hole Duffel;The Patagonia Black Hole Duffel travel bag is durable and spacious, perfect for all your adventures. Made with recycled materials. Lifetime warranty.;149.99;https://www.patagonia.com;Yes;24;Luggage
Samsonite Winfield 3;The Samsonite Winfield 3 hardshell suitcase offers maximum protection with a rigid shell and advanced security features. 10-year warranty included.;199.99;https://www.samsonite.com;No;24;Luggage
DeWalt DCD791D2 Drill;The DeWalt DCD791D2 cordless drill offers exceptional power and long-lasting battery. Perfect for construction and renovation work. 3-year warranty.;199.99;https://www.dewalt.com;Yes;25;Tools
Makita XFD131 Drill;The Makita XFD131 cordless drill offers high performance with a compact and lightweight design. 3-year warranty included.;179.99;https://www.makita.com;No;25;Tools
Nest Learning Thermostat;The Nest Learning Thermostat optimizes energy consumption and offers easy control via smartphone. 2-year warranty included. On sale at -10%.;249.99;https://store.google.com;Yes;26;Smart Home
Ring Video Doorbell Pro 2;The Ring Video Doorbell Pro 2 offers advanced security with HD video and two-way communication. 1-year warranty included.;199.99;https://www.ring.com;No;26;Smart Home
Dyson Supersonic;The Dyson Supersonic hair dryer offers fast drying power with hair protection technology. 2-year warranty included.;399.99;https://www.dyson.com;No;27;Hygiene
L'Oréal Steampod 3.0;The L'Oréal Steampod 3.0 steam straightener offers quick and damage-free straightening with advanced steam technology. 2-year warranty included. On sale at -20%.;299.99;https://www.loreal-paris.fr;Yes;27;Hygiene
Timberland Classic Boots;Timberland Classic boots offer exceptional durability and comfort, perfect for all seasons. Made with premium leather. 1-year warranty.;189.99;https://www.timberland.com;No;3;Shoes
Clarks Desert Boot;Clarks Desert boots offer a classic style with optimal comfort, made from high-quality suede. 1-year warranty included.;129.99;https://www.clarks.com;Yes;3;Shoes
Puma Suede Classic;Puma Suede Classic sneakers offer timeless style with exceptional comfort and durability. 1-year warranty included.;79.99;https://www.puma.com;No;3;Shoes
New Balance 990v5;New Balance 990v5 sneakers offer unparalleled comfort and support for running and daily activities. 1-year warranty included.;174.99;https://www.newbalance.com;Yes;3;Shoes
Casio G-Shock GA2100;The Casio G-Shock GA2100 watch offers exceptional durability with a shock- and water-resistant design. 2-year warranty included.;99.99;https://www.casio.com;No;11;Smartwatches
Seiko 5 Sports;The Seiko 5 Sports watch combines elegance and durability with an automatic movement and a sporty design. Waterproof up to 100 meters. 2-year warranty included.;299.99;https://www.seikowatches.com;No;11;Smartwatches
Nike Air Max 270;Nike Air Max 270 shoes offer exceptional comfort and style with a visible Air unit for maximum cushioning. 1-year warranty included.;150.00;https://www.nike.com;Yes;3;Shoes
Levi's 501 Original;Levi's 501 Original jeans are a timeless classic, offering exceptional comfort and durability. Available in multiple shades. 1-year warranty included.;89.99;https://www.levi.com;No;6;Pants
Samsung Galaxy Watch 4;The Samsung Galaxy Watch 4 smartwatch offers advanced health features, including sleep and heart rate tracking. 2-year warranty included.;299.99;https://www.samsung.com;Yes;11;Smartwatches
Ralph Lauren Polo Shirt;The Ralph Lauren polo shirt is a timeless garment, offering stylish elegance and optimal comfort. Made from high-quality cotton. 1-year warranty included.;95.00;https://www.ralphlauren.com;No;7;Shirts
LG Gram 17;The LG Gram 17 laptop offers exceptional portability with a 17-inch screen, an Intel i7 processor, and 16 GB of RAM. 2-year warranty included.;1799.99;https://www.lg.com;Yes;2;Computers
Sony WH-1000XM4;The Sony WH-1000XM4 wireless headphones offer advanced active noise cancellation and exceptional sound quality. 2-year warranty included.;349.99;https://www.sony.com;No;4;Audio Electronics
Apple iPad Pro;The Apple iPad Pro offers outstanding performance with a Liquid Retina display, an M1 chip, and 5G capabilities. 1-year warranty included.;999.99;https://www.apple.com;No;1;Tablets
Nespresso VertuoPlus;The Nespresso VertuoPlus coffee machine offers a variety of coffee sizes with a convenient capsule system and optimal extraction. 2-year warranty included.;199.99;https://www.nespresso.com;No;17;Kitchen
Microsoft Surface Pro 7;The Microsoft Surface Pro 7 tablet offers PC-like performance with tablet flexibility, equipped with an Intel i5 processor and 8GB of RAM. 2-year warranty included.;899.99;https://www.microsoft.com;Yes;1;Tablets
Philips Hue Smart Bulbs;Philips Hue smart bulbs offer customizable lighting with smartphone or voice assistant control. 2-year warranty included.;99.99;https://www.philips-hue.com;No;26;Smart Home
KitchenAid Artisan Mixer;The KitchenAid Artisan stand mixer offers exceptional performance with a large capacity and multiple accessories. 2-year warranty included.;499.99;https://www.kitchenaid.com;Yes;17;Kitchen
Google Nest Hub;The Google Nest Hub smart assistant offers a touchscreen display to control your connected devices and display useful information. 2-year warranty included.;89.99;https://store.google.com;No;26;Smart Home
Nike Air Zoom Pegasus 37;Nike Air Zoom Pegasus 37 running shoes offer responsive cushioning and optimal support, ideal for runners of all levels. 1-year warranty included.;119.99;https://www.nike.com;Yes;3;Shoes
JBL Charge 5;The JBL Charge 5 portable speaker offers powerful sound with long-lasting battery life and IP67 water resistance. 2-year warranty included.;179.99;https://www.jbl.com;No;4;Audio Electronics
Canon EOS Rebel T7;The Canon EOS Rebel T7 digital SLR camera offers exceptional image quality with a 24.1 MP sensor and user-friendly features. 1-year warranty included.;449.99;https://www.usa.canon.com;Yes;18;Electronics
Tefal ActiFry Genius XL;The Tefal ActiFry Genius XL air fryer allows you to cook healthy meals with little or no oil. 2-year warranty included.;249.99;https://www.tefal.com;No;17;Kitchen
North Face Borealis Backpack;The North Face Borealis backpack offers comfort and functionality with an ergonomic design and multiple compartments. 1-year warranty included.;89.99;https://www.thenorthface.com;Yes;24;Luggage
Crocs Classic Clog;Crocs Classic clogs offer ultimate comfort and exceptional durability, perfect for everyday wear. 1-year warranty included.;44.99;https://www.crocs.com;No;3;Shoes
GoPro HERO9 Black;The GoPro HERO9 Black action camera offers 5K video, advanced stabilization, and exceptional durability. 1-year warranty included.;399.99;https://www.gopro.com;No;18;Electronics
Columbia Newton Ridge Plus;Columbia Newton Ridge Plus hiking boots offer exceptional durability and comfort, perfect for outdoor adventures. 1-year warranty included.;79.99;https://www.columbia.com;Yes;3;Shoes
Logitech MX Master 3;The Logitech MX Master 3 wireless mouse offers exceptional precision and ergonomics, perfect for productivity. 2-year warranty included.;99.99;https://www.logitech.com;No;12;Accessories
Beats by Dre Studio3;Beats by Dre Studio3 wireless headphones offer active noise cancellation and high-quality sound. 2-year warranty included.;349.99;https://www.beatsbydre.com;Yes;4;Audio Electronics
Samsung Galaxy Tab S7;The Samsung Galaxy Tab S7 tablet offers exceptional performance with an 11-inch screen and compatibility with the S Pen. 2-year warranty included.;649.99;https://www.samsung.com;Yes;1;Tablets
Coleman Sundome Tent;The Coleman Sundome tent offers easy setup and weather protection, perfect for camping. 1-year warranty included.;89.99;https://www.coleman.com;No;29;Camping
Hydro Flask Water Bottle;The Hydro Flask water bottle offers exceptional insulation to keep drinks cold or hot. Lifetime warranty.;39.99;https://www.hydroflask.com;Yes;28;Accessories
Milwaukee M18 Drill Set;The Milwaukee M18 drill kit offers exceptional power and durability, perfect for professionals and DIY enthusiasts. 5-year warranty included.;299.99;https://www.milwaukeetool.com;No;25;Tools
Apple AirPods Pro;The Apple AirPods Pro wireless earbuds offer active noise cancellation and high-quality sound. 1-year warranty included.;249.99;https://www.apple.com;Yes;4;Audio Electronics
Brooks Ghost 13;The Brooks Ghost 13 running shoes offer exceptional comfort and support with a cushioned midsole. 1-year warranty included.;129.99;https://www.brooksrunning.com;No;3;Shoes
Cuisinart 12-Cup Coffee Maker;The Cuisinart 12-cup coffee maker offers advanced features for delicious coffee every time. 3-year warranty included.;99.99;https://www.cuisinart.com;Yes;17;Kitchen
Merrell Moab 2;The Merrell Moab 2 hiking shoes offer exceptional comfort and durability with a Vibram outsole. 1-year warranty included.;109.99;https://www.merrell.com;No;3;Shoes
Asus ROG Strix G15;The Asus ROG Strix G15 gaming laptop offers cutting-edge performance with a Ryzen 7 processor and RTX 3050 graphics card. 2-year warranty included.;1299.99;https://www.asus.com;Yes;2;Computers
